,Dataset,Backprop,Model,Num_layers,Batchsize,LearningRate,TotalEpochs,Num_parameters,Optimizer,Best_train,Best_test,Best_test_at,Avg_time,Initialization,AvgGenError,ModelType,ID,Efficiency
103,CIFAR,backprop,mlpWide,4layers,2048,0.005,98,7897610,Adam,0.66245526,0.526001,45,21.758981533050537,kaiming_uniform,0.131146243,mlpWide_4layers,9000,0.0007200336436835323
104,CIFAR,backprop,mlpWide,4layers,2048,0.005,98,7897610,Adam,0.6229655,0.53637695,48,26.44081254482269,orthogonal_,0.08271361940000001,mlpWide_4layers,9000,0.0006892838096968213
105,CIFAR,backprop,mlpWide,4layers,2048,0.005,98,7897610,SGDM,0.7274577,0.5513916,2,28.70013153553009,kaiming_normal,0.17424722860000003,mlpWide_4layers,9000,0.011573452731615
106,CIFAR,backprop,mlpWide,4layers,2048,0.005,98,7897610,SGDM,0.739624,0.5404053,13,21.61289568901062,kaiming_uniform,0.19922850999999994,mlpWide_4layers,9000,0.002430611874494677
107,CIFAR,backprop,mlpWide,4layers,2048,0.005,98,7897610,SGDM,0.6645508,0.5583496,35,21.723482575416565,orthogonal_,0.104306231,mlpWide_4layers,9000,0.0009766248257614826
108,CIFAR,backprop,mlpWide,4layers,2048,0.005,98,7897610,SGD,0.6889038,0.5476074,44,28.772810373306275,kaiming_normal,0.1380041524,mlpWide_4layers,9000,0.000766268275805264
109,CIFAR,backprop,mlpWide,4layers,2048,0.005,98,7897610,SGD,0.6990153,0.54089355,24,21.664916882514955,kaiming_uniform,0.15426757119999998,mlpWide_4layers,9000,0.0013623724265136648
110,CIFAR,backprop,mlpWide,4layers,2048,0.005,98,7897610,SGD,0.6542155,0.55285645,48,28.873681025505064,orthogonal_,0.10008178859999997,mlpWide_4layers,9000,0.0007104611786010943
111,CIFAR,backprop,mlp,2layers,2048,0.0005,98,789770,Adam,0.57263184,0.5251465,46,22.55368992805481,kaiming_normal,0.046666252600000006,mlp_2layers,9000,0.0008235037718126203
112,CIFAR,backprop,mlp,2layers,2048,0.0005,98,789770,Adam,0.5732422,0.52441406,41,26.689578680992128,kaiming_uniform,0.04473389,mlp_2layers,9000,0.0009202546314796503
113,CIFAR,backprop,mlp,2layers,2048,0.0005,98,789770,Adam,0.57647705,0.5296631,34,21.545907521247862,orthogonal_,0.044939782199999986,mlp_2layers,9000,0.0011153589304578198
114,CIFAR,backprop,mlp,2layers,2048,0.0005,98,789770,SGDM,0.56030273,0.5177002,21,21.776764092445372,kaiming_normal,0.04066039800000002,mlp_2layers,9000,0.0017343575179240422
115,CIFAR,backprop,mlp,2layers,2048,0.0005,98,789770,SGDM,0.55875653,0.5217285,20,26.220826325416564,kaiming_uniform,0.03580729200000002,mlp_2layers,9000,0.001831083890084605
116,CIFAR,backprop,mlp,2layers,2048,0.0005,98,789770,SGDM,0.56052655,0.5205078,46,21.776145725250245,orthogonal_,0.039155683999999996,mlp_2layers,9000,0.0008162296360308771
117,CIFAR,backprop,mlp,2layers,2048,0.0005,98,789770,SGD,0.57607013,0.5253906,27,25.792213745117188,kaiming_normal,0.0508475802,mlp_2layers,9000,0.0013829524316697544
118,CIFAR,backprop,mlp,2layers,2048,0.0005,98,789770,SGD,0.5751953,0.52453613,41,27.154759407043457,kaiming_uniform,0.050440267399999995,mlp_2layers,9000,0.0009204688429042346
119,CIFAR,backprop,mlp,2layers,2048,0.0005,98,789770,SGD,0.58009845,0.52783203,46,21.55177171230316,orthogonal_,0.05140787819999999,mlp_2layers,9000,0.0008277150615847429
120,CIFAR,backprop,mlp,2layers,2048,0.005,98,789770,Adam,0.53096515,0.50512695,39,21.514301280975342,kaiming_normal,0.016481524799999998,mlp_2layers,9000,0.0009307295955867852
121,CIFAR,backprop,mlp,2layers,2048,0.005,98,789770,Adam,0.5314331,0.50427246,35,26.485861172676085,kaiming_uniform,0.014710281599999995,mlp_2layers,9000,0.001032394601795655
122,CIFAR,backprop,mlp,2layers,2048,0.005,98,789770,Adam,0.53859454,0.49975586,34,21.94096580982208,orthogonal_,0.0169185366,mlp_2layers,9000,0.0010523805821089443
123,CIFAR,backprop,mlp,2layers,2048,0.005,98,789770,SGDM,0.5507609,0.5136719,46,21.649283270835877,kaiming_normal,0.012847901799999999,mlp_2layers,9000,0.0008055099807847051
124,CIFAR,backprop,mlp,2layers,2048,0.005,98,789770,SGDM,0.54626465,0.513916,45,26.175368614196778,kaiming_uniform,0.0165075672,mlp_2layers,9000,0.0008234121719226327
125,CIFAR,backprop,mlp,2layers,2048,0.005,98,789770,SGDM,0.5622762,0.5214844,47,21.476334891319276,orthogonal_,0.022838951000000007,mlp_2layers,9000,0.0008007243933378487
126,CIFAR,backprop,mlp,2layers,2048,0.005,98,789770,SGD,0.55674237,0.51672363,46,21.588601417541504,kaiming_normal,0.03832560320000001,mlp_2layers,9000,0.0008102955238008991
127,CIFAR,backprop,mlp,2layers,2048,0.005,98,789770,SGD,0.5563151,0.5206299,37,26.32788821697235,kaiming_uniform,0.036122639000000005,mlp_2layers,9000,0.0010097839995884899
128,CIFAR,backprop,mlp,2layers,2048,0.005,98,789770,SGD,0.556783,0.5175781,48,22.46045234680176,orthogonal_,0.03732706980000001,mlp_2layers,9000,0.0007785074755799496
129,CIFAR,backprop,mlp,2layers,2048,0.005,2,132746,Adam,0.3453369,0.33691406,1,29.03083372116089,orthogonal_,0.004170719999999989,mlp_2layers,9000,0.014366118873313878
130,CIFAR,backprop,mlp,2layers,2048,0.005,2,132746,SGDM,0.32206216,0.3248291,1,31.027928352355957,orthogonal_,-0.0026957299999999934,mlp_2layers,9000,0.013850812471618313
131,CIFAR,backprop,mlp,2layers,2048,0.005,2,132746,SGD,0.39060465,0.3746338,1,33.44719922542572,orthogonal_,0.016927074999999986,mlp_2layers,9000,0.015974500158174747
132,CIFAR,backprop,mlp,2layers,4096,0.0005,98,789770,Adam,0.7531128,0.50109863,0,27.63565559864044,orthogonal_,0.236939697,mlp_2layers,9000,0.03693228605197107
133,CIFAR,backprop,mlp,2layers,4096,0.0005,98,789770,SGDM,0.7148234,0.5057373,8,27.830946888923645,orthogonal_,0.20898518700000002,mlp_2layers,9000,0.00414157424695935
134,CIFAR,backprop,mlp,2layers,4096,0.0005,98,789770,SGD,0.7659505,0.49084473,6,27.85978771686554,orthogonal_,0.27551554139999995,mlp_2layers,9000,0.00516807809599779
